PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,avPercentage
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percentage of the test compound readout over those of negative controls at a concentration of 10 uM.
RESULT_UNIT,,,,,,,,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
140,51089732,24892493,C1=CC=C(C=C1)C2=CC(=[N+](C(=C2)C3=CC=CC=C3)CC4=CC=C(C=C4)F)C5=CC=CC=C5.[O-]Cl(=O)(=O)=O,Active,86,,,24.5
141,17407894,11958717,CCCCCCOC(=O)C[N+](C)(C)CCOC1CC2CCC1(C2(C)C)C.[Cl-],Active,86,,,24.5
142,47196420,2935256,CC1=CC(=C(C=C1)C)OCCCNCC2=CC=CC=C2.C(=O)(C(=O)O)O,Active,86,,,23.5
143,14743551,522335,C[NH+](C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.[Cl-],Active,86,,,22.5
144,17413680,6898249,CC1=CC=C(C=C1)S(=O)(=O)OC2=C(C=C(C=C2)/C=N/O)OC,Active,85,,,25.5
145,47196653,2934080,CCC1=CC=C(C=C1)OCCCCN(C)CC2=CC=CC=C2.C(=O)(C(=O)O)O,Active,85,,,26.5
146,49674011,16249157,C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)OCC(CNCC3=CC=C(C=C3)F)O.C(=O)(C(=O)O)O,Active,85,,,25.5
147,49673704,16240979,CC(C)C1=CC=C(C=C1)OCC(CNC(C)C2=CC=CC=C2)O.Cl,Active,85,,,28.5
148,17508045,2834423,CC1CCC(C(C1)OC(=O)CN2C3=CC=CC=C3[N+](=C2C4=CC=CC=C4)C)C(C)C.[Cl-],Active,85,,,26.5
149,26657495,16241211,CCOC(=O)C1=C(SC2=C1CCC2)NC(=O)CCNCC3=CC=CO3.C(=O)(C(=O)O)O,Active,85,,,28
150,47196242,2946912,C1CN(CC2=CC=CC=C21)CC(COC3=C(C=C(C=C3F)Br)F)O.Cl,Active,85,,,26
151,14746613,6380971,C/C(=C(/C#N)\C(=O)COC(=O)C1CCC(CC1)C(C)(C)C)/N,Active,85,,,28
152,49724909,16247853,COC1=CC=C(C=C1)CCNCC2=C(C=CC3=CC=CC=C32)OC.C(=O)(C(=O)O)O,Active,85,,,28.5
153,24806215,16192765,CCCCCCCN1C2=C(CCCC2)C(=N)C3=C1CCC3.Br,Active,85,,,27.5
154,49824436,1225417,CC1=CC(=C(C=C1)NC(=O)C2=CC=C(O2)CN3C=C(C=N3)Cl)C,Active,85,,,25.5
155,24794531,2977939,CC1=CC(=CC(=C1OCCCNCC(C)O)Br)Cl,Active,85,,,27
156,14739030,2924404,CC(C)(C1=CC=CC=C1)C2=CC=C(C=C2)OCCCNCCO.C(=O)(C(=O)O)O,Active,85,,,28
157,17401125,11957113,COC1=C(C=CC(=C1)CNCC2=CC=CC=N2)OCC3=C(C=C(C=C3)Cl)Cl.Cl,Active,85,,,26
158,14733810,2931813,CCOC(=O)CN1C2=CC=CC=C2N(C1=N)CCOC3=CC4=CC=CC=C4C=C3.Cl,Active,85,,,27.5
159,47196424,2971918,CC1=C(C=C(C=C1)NC2=NC3=CC=CC=C3C(=N2)NCCO)C.Cl,Active,85,,,28
160,47196920,2934578,CC1=CC(=C(C(=C1)OCCCCN(C)CC2=CC=CC=C2)C)C.C(=O)(C(=O)O)O,Active,85,,,26.5
161,855892,5284439,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3.C(=C\C(=O)O)\C(=O)O,Active,85,,,28.5
162,46500405,23640915,C1CCN(CC1)CC2=CC(=CC=C2)OCCCNC3=NC4=CC=CC=C4S3.C(=C\C(=O)O)\C(=O)O,Active,85,,,25.5
163,49681720,6917789,CNCCCCOC1=CC=CC=C1CC2=CC=CC=C2.Cl,Active,85,,,28.5
164,14740599,2129848,CCOC(=O)C1=C(OC2=C1C(=C(C=C2)O)CN3CCCC3)C4=CC=CC=C4,Active,85,,,26
165,14727895,827103,C1=CC=C2C(=C1)C3=NN=C(N3C4=CC=CC=C4S2)Br,Active,85,,,27.5
166,26729272,2816320,CC1=CC2=C3C(=C(N=C2C=C1)C)CCN3C4=CC=CC=C4,Active,85,,,27.5
167,11533012,5702223,CN(C)CC/C=C/1\C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl,Active,85,,,26.5
168,49713821,135693578,CC1=C([C@@H](NC(=NCC2=CC=C(C=C2)OC)N1CC3=CC=CC=C3)C4=CC(=CC=C4)F)C(=O)OC,Active,85,,,26
169,49665316,17365917,C1OC2=C(O1)C=C(C=C2)CCNCC3=CC=C(C=C3)Cl.C(=O)(C(=O)O)O,Active,85,,,27.5
170,3716337,2337473,CC1=C(C(=O)N(N1)C2=CC=CC=C2)S(=O)(=O)C3=CC=CC=C3,Active,85,,,28.5
171,49681646,10314472,CN[C@@H]1C[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl.Cl,Active,85,,,27.5
172,26665964,4257872,CC(C)(C)OC(=O)NCCC1=NN=C(O1)SCC2=CC(=CC=C2)Cl,Active,85,,,26.5
173,47195851,3070964,CC1=CC=C(C=C1)C2CC3=CC(=C(C=C3CN2)O)O.Br,Active,85,,,28.5
174,17407735,1453042,CC1=CC=C(C=C1)CN2CCC(CC2)C3=NC4=C(N3)C=C(C=C4)Cl,Active,85,,,26
