PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Percentage
RESULT_TYPE,,,,,,,,FLOAT
RESULT_DESCR,,,,,,,,Percentage of the test compound readout over the 3SD of negative controls at a concentration of 10 uM
RESULT_UNIT,,,,,,,,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,10
163,49731811,16446302,CC(C)C1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC=C3F,Active,26,,,58.5
164,49721922,16446399,CC(C)C1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=C(C=C3)F,Active,26,,,58.1
165,49669464,2854758,CC1=C(C(NC(=O)N1)C2=CC(=CC=C2)O)C(=O)OCC3CCCCC3,Active,26,,,58.1
166,49734492,16014363,CC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC=C3,Active,25,,,57.9
167,24834671,2097915,CCC1=CC2=C(S1)NC(=S)N(C2=O)CCC(C)C,Active,25,,,57.3
168,858199,659551,C1CCCC(=C2C(=O)NC(=S)S2)CC1,Active,25,,,57.2
169,47198546,2886682,CC1=CC(=C(C=C1)C)NC(=O)C2CC3CCC2C3,Active,25,,,57.2
170,14727455,5411556,CC(C)CN1C(=O)/C(=C/C2=CC=CS2)/NC1=S,Active,25,,,56.9
171,17387364,4390212,CCOC(=O)C1=NN(C(C1)(C2=CC=C(C=C2)Cl)O)C(=O)C3=CC=C(C=C3)C,Active,25,,,56.9
172,49666257,4538652,CC1=CC=C(C=C1)C2=NC3=C(C=C(C=C3)Cl)C(=O)N2O,Active,25,,,56.8
173,17413178,2230146,C1CCC(CC1)N(CCCCO)C(=S)NC(=O)C2=C(C3=CC=CC=C3S2)Cl,Active,25,,,56.4
174,26658611,1998838,C/C(=C\C1=CC=CC=C1)/C=C\2/C(=O)N(C(=S)S2)NS(=O)(=O)C3=CC=CC=C3,Active,25,,,56.4
175,49819730,7492195,C1CCN(C1)C2=CC=CC=C2NC(=O)CC3=CC(=C(C=C3)Cl)Cl,Active,25,,,56.4
176,24832700,2462250,C1CN(CCC1CC2=CC=CC=C2)CC(=O)NCCC3=CC=C(C=C3)F,Active,25,,,56.2
177,17403379,5761783,CC1=CC(=C(C(=C1)C)NC(=O)C2C3C2/C=C\CCCC3)C,Active,25,,,56.2
178,14732804,7110352,CCCC1=NC2=C(C(=N1)SCC(=O)C3=CC=CC=C3)C(=O)N(C(=O)N2C)C,Active,25,,,56.2
179,7978241,2241158,CC1=C(C(=CC=C1)NC(=O)CSC(=O)N)C,Active,25,,,56.1
180,4256304,877334,CC1=C(C=CO1)C(=O)NC2=CC=CC3=CC=CC=C32,Active,25,,,55.9
181,24793777,2955716,CC(C1=CC2=C(C=C1)OCO2)NC(=O)NC34CC5CC(C3)CC(C5)C4,Active,25,,,55.9
182,49718196,2983483,C1C(CN(C1=O)NC(=O)C2=CC=CC=C2)C(=O)OCC3=CC=C(C=C3)Br,Active,24,,,55.4
183,49721816,16014339,CCCC1=NN=C(S1)NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=C(C=C3)C,Active,24,,,55.3
184,17415272,2227579,CCCOC(=S)NC(=O)C1=C(C2=CC=CC=C2S1)Cl,Active,24,,,55.3
