PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.00235uM_(%)_TEST1,Activity_at_0.0026uM_(%)_TEST1,Activity_at_0.0068uM_(%)_TEST1,Activity_at_0.0075uM_(%)_TEST1,Activity_at_0.008uM_(%)_TEST1,Activity_at_0.021uM_(%)_TEST1,Activity_at_0.0235uM_(%)_TEST1,Activity_at_0.06uM_(%)_TEST1,Activity_at_0.068uM_(%)_TEST1,Activity_at_0.18uM_(%)_TEST1,Activity_at_0.195uM_(%)_TEST1,Activity_at_0.21uM_(%)_TEST1,Activity_at_0.56uM_(%)_TEST1,Activity_at_0.6uM_(%)_TEST1,Activity_at_0.68uM_(%)_TEST1,Activity_at_1.6uM_(%)_TEST1,Activity_at_1.8uM_(%)_TEST1,Activity_at_1.95uM_(%)_TEST1,Activity_at_5uM_(%)_TEST1,Activity_at_5.6uM_(%)_TEST1,Activity_at_15uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_18uM_(%)_TEST1,Activity_at_46uM_(%)_TEST1,Activity_at_50uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.0235uM_(%)_TEST2,Activity_at_0.068uM_(%)_TEST2,Activity_at_0.21uM_(%)_TEST2,Activity_at_0.6uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_5.6uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_50uM_(%)_TEST2
339,24828490,2552908,CC(=O)NC1=CC=C(C=C1)NC(=O)COC2=CC=CC3=C2OC(C3)(C)C,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,2.04,8.249,-100,14,-40.741,50,50,8.748,13.793,9.004,12.197,5.3,-1.596,1.596,-40.741
340,26671513,135650717,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=CC=C3F)N/N=C/C4=C(C=C(C=C4)O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.30302,5.30302,12,36.364,50,50,-9.091,4.545,-4.545,-4.545,0,9.091,18.182,36.364
341,89854849,3614737,CN1C=NC2=C(C1=S)NC=N2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.757579,-0.757579,12,-9.091,0.068,50,-4.545,-9.091,9.091,,0,0,0,4.545
342,26731936,16746135,CC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C(F)(F)F)NC3=NC=CN=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,8.92309,8.92309,13,27.385,50,50,-0.154,0,-0.154,7.692,8,3.692,19.385,27.385
343,49823871,25237586,CC1=CC=C(S1)/C=N/NC(=O)C2=CC3=CC=CC=C3C=C2,Active,57,,,=,2.05,5.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,2.05,5.688,4,7.736,-42.264,13,-52,5.6,50,6.333,-12,12,2.167,-10.333,-52,-42.667,-22.667
344,49724187,1358765,CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)C3=C(ON=C3C4=CC=CC=C4Cl)C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.00001,5.00001,14,-30,5.6,50,-3.333,10,1.667,14.167,-30,-30,25.833,16.667
345,24837097,135520037,CC1=CSC(=NCC=C)N1/N=C/C2=CC(=C(C=C2)O)O,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,2.618,3.787,-100,12,-42.857,50,50,13.333,6.667,0,3.333,3.333,0,0,-42.857
346,26730500,2802912,CC1=CC(=C(C(=C1)C)NC2=NC3(CCCCC3)C(=C)S2)C,Active,53,,,=,5.37,5.270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,53,,=,5.37,5.270,4,1.378,-66.161,16,-67.857,16,50,17.857,0,7.143,-21.429,3.571,-35.714,-67.857,-64.286
347,85271287,5126912,CC1=C(C=C(C=C1)S(=O)(=O)N2CCOCC2)C(=O)NC3=CC(=C(C=C3)OC)S(=O)(=O)N4CCOCC4,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,4,-2.182,-100,14,-41.667,50,50,2.174,2.174,-1.993,-10.507,-6.341,0,-1.993,-41.667
348,85146417,44142298,COC1=CC(=CC(=C1)C#CC2=CC3=C(C=C2)C=C(OC3=O)CCCO)OC,Active,50,,,=,10.33,4.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.33,4.986,0.5,25,-100,14,-46.19,5.6,16,5.619,11.143,28.667,-7.905,-19.905,-46.19,-27.143,
349,49729263,24792603,CC(C)(C)N1C(=O)[C@@H]2[C@H](C1=O)[C@@]3(C(=O)N(C(=O)N3[C@@H]2C4=CC=C(C=C4)OC)C5=CC=C(C=C5)C(F)(F)F)CC6=CC=CC=C6,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-8.28963e-06,-8.28963e-06,13,-9.091,50,50,-4.545,9.091,9.091,-4.545,0,-4.545,,-9.091
350,17415769,1221180,CCOC(=O)C1=C(SC(=C1C)C(=O)C)NC(=O)C2C3=CC=CC=C3OC4=CC=CC=C24,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,33.4918,33.4918,16,155.072,50,50,10.87,15.036,1.993,6.522,10.87,10.87,56.703,155.072
351,57262788,4801245,CN(C1=CC=CC=C1OC)S(=O)(=O)C2=CC=C(C=C2)C(=O)NC3=NC=CS3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-8.97436,-8.97436,12,-15.385,0.6,50,-15.385,-11.538,-7.692,-15.385,0,-3.846,0,-11.538
352,92764089,266144,CC1=C(SC(=N1)C)C(=O)NN=CC2=CC=C(C=C2)N(CCCl)CCCl,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,0.623,24.998,-100,13,-19.167,16,50,0,24.167,28.333,20,5.833,10,-19.167,-16.667
353,57260040,8024520,CC(=O)NC1=CC(=CC=C1)NC(=O)CN2C3=CC=CC4=C3C(=CC=C4)S2(=O)=O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.92307,1.92307,12,14.359,5.6,50,-13.333,-13.846,-3.333,13.333,3.333,14.359,,11.026
354,121286529,51361697,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)C(=O)NCC(F)(F)F)O)O,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,0.954,-1.453,-100,15,-50,50,50,-11.264,0.275,7.418,3.571,-14.56,-10.989,-21.703,-50
355,49669494,6351925,CCN(CC)C1=CC=C2C(=CC1=O)[C@H](CCC3=CC(=C(C(=C32)OC)OC)OC)NC,Active,59,,,=,1.31,5.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,,=,1.31,5.883,4,-6.592,-100,9,-84.615,1.8,1.8,-13.919,-9.158,-5.311,-0.549,-84.615,,,
356,17510325,9609245,COC1=CC=C(C=C1)OCC(=O)N/N=C/C=C/C2=CC=CC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,8.83518,8.83518,14,47.231,50,50,-4,7.846,3.692,-0.308,,3.692,3.692,47.231
357,87334249,6540239,CC(=O)C1=C(SC=C1)C2=CC=CC(=C2)C3=CC(=O)OC4=C3C(=CC(=C4)OC)OC,Active,49,,,=,12.18,4.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.18,4.914,0.5,0,-100,15,-67.333,50,50,2.167,-2.167,-18.5,-14.5,-52,-38.667,-47.167,-67.333
358,85273781,62770,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O.Cl,Active,51,,,=,7.44,5.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.44,5.128,1.604,0,-400,15,-389.286,50,50,-7.143,-21.429,-10.714,-21.429,-28.571,-160.714,-303.571,-389.286
359,22407466,4273555,C1=CC=C(C=C1)N2C3=CC=CC=C3N=C2SCC(=O)NC4=C(C=C(C=N4)Cl)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,7.01589,7.01589,12,71.429,50,50,16,23.905,,10.381,10.381,-19.143,-27.143,71.429
360,56463272,11647992,C1CN(CCC1(C2=CC(=CC=C2)C(F)(F)F)O)CCCC(=O)C3=CC=C(C=C3)F.Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-4.14201,-4.14201,13,-23.077,16,16,-15.385,15.385,-7.692,15.385,0,-15.385,-23.077,
361,92764840,386514,CN(C)CCNC(=O)C1=CC=C(C2=CC3=CC=CC=C3N=C12)OC.Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,31.5459,31.5459,15,108.333,50,50,6.341,6.522,1.993,-8.333,2.355,15.217,100,108.333
362,17504829,1296368,C1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C3=CC=CC=C32)O)SC4=CC=CC5=C4N=CC=C5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-2.67857,-2.67857,8,-35.714,50,50,0,7.143,-7.143,-14.286,7.143,14.286,7.143,-35.714
363,85199432,135815638,CC1=C(C=C(C=C1)N=N/C(=C(/C)\O)/C(=O)NC2=CC=C(C=C2)Cl)S(=O)(=O)NC3=CC=CC=C3OC,Active,44,,,=,36.57,4.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,36.57,4.437,0.569,-6.825,-100,13,-57.692,50,50,-11.538,-3.846,-15.385,-15.385,,-30.769,-42.308,-57.692
364,26665526,949905,C1=CC=C(C=C1)C2=C(NC3=C2C=C(C=C3)Cl)C(=O)NN,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-8.60508,-8.60508,16,-27.717,50,50,-11.051,-15.217,-15.036,-1.812,6.341,-10.688,6.341,-27.717
365,22407439,5674353,COC1=CC(=CC(=C1OC)OC)C(=O)N/N=C(\C2=CC=CC=C2)/C3=CC=CC=N3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,16.1905,16.1905,15,65.952,16,50,3.571,7.143,0.476,3.095,-10.476,-7.143,65.952,55.238
366,49732516,1276539,C1=CC=C(C=C1)CN(CC(=O)NCC2=CN=CC=C2)S(=O)(=O)C3=CC=C(C=C3)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,16.1594,16.1594,15,23.37,1.8,50,14.674,16.667,10.507,23.37,23.37,15.036,19.203,6.703
367,24837461,3876709,CC1=C(C=C(C=C1)S(=O)(=O)N2CCOCC2)NC(=O)CSC3=NNC(=N3)N,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,4,8.39,-100,13,-27.273,50,50,9.091,4.545,13.636,9.091,0,4.545,9.091,-27.273
368,24787200,135460566,COC1=CC=CC(=C1O)/C=N/NC(=O)C(=O)N/N=C/C2=C(C(=CC=C2)OC)O,Active,44,,,=,40.11,4.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,40.11,4.397,1.37,1.133,-100,16,-59.744,50,50,3.333,8.205,11.538,-3.846,-14.872,-10.513,-14.359,-59.744
369,57260176,16311462,COC1=CC=C(C=C1)CCC(=O)N2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)OC(F)(F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.714303,-0.714303,16,-13.571,0.6,50,10.714,0,-6.905,-13.571,-6.905,-6.429,6.905,10.476
370,26730309,2747202,C1COC2=C(O1)C=CC(=C2)N3C=NN=C3SCC4=CC=C(C=C4)Cl,Active,50,,,=,9.62,5.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.62,5.017,4,0.173,-56.191,15,-54.945,50,50,-0.275,0,-4.121,-14.286,10.989,-3.571,-51.648,-54.945
371,51087542,4300736,C1COC2=C(O1)C=CC(=C2)C(=O)NC3=NC4=C(S3)C=C(C=C4)S(=O)(=O)N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-17.3333,-17.3333,15,-40,5.6,50,0.513,-11.026,-14.872,-24.872,-17.692,-40,-14.359,-27.692
372,24831303,5841071,COC1=CC(=CC(=C1O)OC)/C=C(\C#N)/C(=O)C2=CNC3=CC=CC=C32,Active,51,,,=,8.32,5.080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.32,5.080,0.907,-7.428,-100,16,-93.095,50,50,-20.238,0.238,-6.905,-13.571,-23.571,-58.333,-51.429,-93.095
373,17403439,704848,CC1=CC(=NC=C1)N2C(=O)C3=C4C(=C(C=C3)[N+](=O)[O-])C=CC=C4C2=O,Active,52,,,=,6.5,5.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.5,5.187,4,0,-400,11,-391.667,16,16,-10.167,6.333,-6.167,22.333,1.667,,-391.667,
374,852021,654628,C1CCC(CC1)CN2C3=CC=CC=C3N=CC2=O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.48574,5.48574,15,23.81,5.6,50,3.143,7.143,15.905,3.905,-1.619,23.81,6.381,-5.619
375,57257981,25162098,CCCCN(C1=C(N(C(=O)NC1=O)CC(C)C)N)C(=O)C2=C(C=CC(=C2)S(=O)(=O)N3CCCCC3)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-4.44444,-4.44444,15,-16.667,5.6,50,4.167,-12.5,-8.333,0,4.167,-16.667,-4.167,-8.333
376,56463140,6338045,CCOC(=O)C1=CN=CN1[C@@H](C)C2=CC=CC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-4.24909,-4.24909,15,-14.286,0.6,50,7.418,-11.264,-11.538,-14.286,-10.714,7.143,11.538,-6.593
377,24782656,3130863,C1=CC2=C3C(=CC=C4C3=C1C(=O)N(C4=O)CCCCO)C(=O)N(C2=O)CCCCO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,6.52381,6.52381,14,41.667,0.6,50,-6.167,-14.5,10.5,41.667,14.667,14.5,-2.5,16.667
378,49735882,20936222,CCN(C1=CC=CC(=C1)C)S(=O)(=O)C2=CC=C(S2)C3=CC(=NO3)C,Active,52,,,=,5.94,5.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,5.94,5.226,1.6,-1.493,-100,12,-75.092,16,16,0,7.692,-10.989,-7.143,-2.381,-57.875,-75.092,
379,92764245,381594,C1=CC2=C(C(=O)C(=CC2=O)NCCC3=CC(=C(C(=C3)Br)O)Br)N=C1,Active,55,,,=,3.33,5.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.33,5.478,1.784,9.975,-82.781,6,-56.522,5.6,5.6,4.348,13.043,13.043,4.348,-13.044,-56.522,,
380,57265671,6224088,COC1=C(C=CC(=C1)/C=C(\CC(=O)O)/C2=NC3=CC=CC=C3S2)OCC(=O)NC4=CC=CC=C4F,Active,42,,,=,58.55,4.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,42,,=,58.55,4.232,4,3.588,-184.399,16,-61.429,50,50,6.667,-6.905,3.333,3.333,3.571,6.905,6.905,-61.429
381,57256541,16320875,CC1=CC=C(C=C1)S(=O)(=O)N2CCN(CC2)C(=O)CN(CC3=CC=CO3)CC4=CC=CS4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,10.5978,10.5978,16,27.536,16,50,1.993,10.507,6.341,-2.174,6.522,14.855,27.536,19.203
382,47193403,16738585,COC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC3=C2C=C(C=C3)O,Active,52,,,=,6.82,5.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.82,5.166,4,11.146,-79.326,14,-85.165,16,50,11.264,14.835,23.077,7.418,3.846,-15.11,-85.165,-64.286
383,87349593,16193034,CCN\1C2=C(C=C(C(=C2)C)C)S/C1=C/C3=[N+](C4=C(C=C3)C=C(C=C4)C)CC.[I-],Active,50,,,=,9.9,5.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.9,5.004,1.541,0,-500,13,-459.333,50,50,-2.167,-1.833,-14.167,-28,-66.667,-132.667,-356,-459.333
384,51087463,16801355,COC1=C(C=C(C=C1)NC(=O)C(=O)C2=CN(C3=CC=CC=C32)CC(=O)N4CCCC4)OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-9.10715,-9.10715,14,-28.958,16,50,0.417,10.208,-9.375,-13.333,-10,-12.5,-28.958,-13.125
385,4261214,716459,CC1=CC(=CC=C1)C2=NOC(=N2)C3=CC(=C(C=C3)OC)OC,Active,50,,,=,9.13,5.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.13,5.040,2.839,-6.913,-64.144,15,-63.636,50,50,-9.091,-4.545,-18.182,0,-9.091,-18.182,-54.545,-63.636
386,85270987,16242555,CC1=CC=C(C=C1)S(=O)(=O)N[C@@H](C(C)C)C(=O)OCC(=O)NC(=O)C2CCCCC2,Active,44,,,=,38.63,4.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,38.63,4.413,0.812,3.246,-150,16,-119.231,50,50,-3.846,15.385,3.846,0,-11.538,-26.923,-69.231,-119.231
387,17512374,1919145,CC1(CC2=C(CO1)C(=NC3=C2C4=C(S3)C(=NC=N4)NCCN5CCOCC5)C6=CC=CO6)C,Active,54,,,=,3.92,5.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.92,5.407,1.069,0,-100,14,-72.685,5.6,16,17.593,-0.926,1.389,-12.963,-25.463,-72.685,-68.519,
388,22409364,15945306,CCOC1=CC=C(C=C1)C(=O)N[C@@H](C(C)C)C(=O)NC2=CC(=CC=C2)S(=O)(=O)N3CCCCC3,Active,43,,,=,46.34,4.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,46.34,4.334,0.5,4.193,-100,15,-50,50,50,0,9.091,-9.091,-9.091,-13.636,-22.727,-31.818,-50
389,85267940,4787359,CC1=C(C(=NO1)C)COC2=C(C=C(C=C2)C(=O)N3CCC(CC3)C(=O)N)OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.31111,5.31111,15,25,1.8,50,-14.667,10.333,10.667,10.5,25,-2,6.167,6.333
390,26730314,2807444,COC1=C(C(=CC(=N1)C2=CC=CC=C2)C3=CC4=C(C=C3)OCO4)C#N,Active,54,,,=,3.66,5.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,3.66,5.437,0.586,15.377,-100,16,-76.923,16,50,15.385,0,-7.692,-11.538,-26.923,-46.154,-76.923,-73.077
391,103074324,49789738,COC1=C(C=C(C=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CC=CC=C4)OC,Active,61,,,=,0.793,6.101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,61,,=,0.793,6.101,2.851,-14.227,-120,10,-108.514,1.8,1.8,-10.87,-27.536,-6.341,-48.913,-108.514,,,
392,47194212,3107275,C1=CC=C2C(=C1)C=CC(=N2)NC3=CC=C(C=C3)Cl,Active,51,,,=,8.45,5.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.45,5.073,0.771,13.983,-100,16,-82.407,50,50,20.37,8.333,8.796,-7.87,-15.741,-23.148,-58.333,-82.407
393,24786987,1094062,COC1=CC=C(C=C1)C2=NC3=C(C=NN3C(=C2)C(F)F)C(=O)N4CCC5=CC=CC=C54,Active,48,,,=,16.08,4.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,48,,=,16.08,4.794,0.5,2.799,-100,14,-62.19,50,50,-7.143,7.143,-11.905,-16,-20.667,-56,-40.667,-62.19
394,56319348,7742629,CN1C(=NN=C1SCC(=O)NC2=CC=C(C=C2)OC)CC3=CC=CS3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,8.42898,8.42898,15,30.435,50,50,17.913,0.522,4.174,0.174,8.522,4.174,12.522,30.435
395,89854442,135435287,CC1=C(C(=O)NC(=N1)N)CCCNS(=O)(=O)C2=CC=C(C=C2)[N+](=O)[O-],Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.09316,1.09316,14,8.174,0.068,50,-0.522,8.174,-4,-0.174,-4.522,0.174,4.522,4
396,92764211,267046,COC1=C(C=C(C=C1)C=NNC(=O)CCCC(=O)NN=CC2=CC(=C(C=C2)OC)O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-7.79221,-7.79221,14,-27.273,16,50,-4.545,-9.091,0,-9.091,0,0,-27.273,-18.182
397,17431909,1326118,C1=CC=C2C=C(C=CC2=C1)C3=CSC(=N3)NC(=S)NC(=O)/C=C/C4=CC=CO4,Active,55,,,=,3.34,5.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3.34,5.476,4,-0.702,-70,12,-72.727,5.6,5.6,0,-9.091,0,0,0,-72.727,,
398,46500374,119376,CN1C=C(C2=CC=CC=C21)C(=O)OCC3CCN(CC3)CCNS(=O)(=O)C,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,2.289,0.599,-100,15,-36,50,50,-6.167,-14.333,10.333,6.333,2.167,2,-6.167,-36
399,85271618,2409431,CC1=CC=C(C=C1)OCCC(=O)NNC(=O)C2=CC=C(C=C2)Br,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.51515,-1.51515,6,-9.091,0.6,5.6,0,0,0,-9.091,0,0,,
400,49675406,9268067,COC1=CC=CC=C1CNC(=O)CN2C=NN=N2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.78573,-1.78573,14,-16.667,0.21,50,-4.167,-8.333,-16.667,-8.333,4.167,4.167,8.333,0
401,26660914,4295211,CC(=NC1=CC=CC=C1O)C2=C(C3=CC=CC=C3S2)O,Active,49,,,=,11.76,4.930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.76,4.930,3.287,-2.233,-160,16,-169.444,50,50,-11.111,-7.407,0,8.333,-0.926,-16.204,-117.13,-169.444
402,57269008,25163831,CCN(CC(=O)NC1=C(C=CC=C1F)F)C(=O)C2CC2,Active,45,,,=,33.1,4.480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,33.1,4.480,0.725,-2.075,-100,12,-61.538,50,50,-3.846,0,0,-7.692,-23.077,-15.385,-38.462,-61.538
403,57267282,16302561,CCOC1=CC(=C(C=C1NC(=O)CN2C(=O)C3(CCCCC3)NC2=O)OCC)N4CCOCC4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,8.33332,8.33332,14,20.833,50,50,8.333,8.333,4.167,-16.667,4.167,16.667,8.333,20.833
404,24788058,984326,CN1C2=CC=CC3=C2C(=C(C1=O)NC4CCCCC4)C5=CC=CC=C5C3=O,Active,51,,,=,8.48,5.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,8.48,5.072,1.528,8.814,-130,16,-125,50,50,0.833,14.167,15,0.833,0,-40.833,-90.833,-125
405,24821308,3224931,CC1CCN(CC1)C2=C(C=C(C=C2)NC(=O)C3=CC=C(C=C3)C#C)C(=O)N,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,15.3409,15.3409,16,59.091,0.0235,50,59.091,9.091,-4.545,9.091,0,13.636,22.727,13.636
406,24804819,1079552,C1COCCN1C2=CC=C(C=C2)N=CC3=CC=C(O3)C4=C(C(=CC=C4)Cl)Cl,Active,43,,,=,50,4.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,43,,=,50,4.301,1.551,15.166,-100,7,-27.273,50,50,9.091,18.182,9.091,,18.182,9.091,0,-27.273
