PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.26uM_(%)_TEST1,Activity_at_0.5uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_4.2uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_16uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.235uM_(%)_TEST2,Activity_at_0.26uM_(%)_TEST2,Activity_at_0.285uM_(%)_TEST2,Activity_at_0.46uM_(%)_TEST2,Activity_at_0.5uM_(%)_TEST2,Activity_at_0.56uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_1uM_(%)_TEST2,Activity_at_1.1uM_(%)_TEST2,Activity_at_1.8uM_(%)_TEST2,Activity_at_1.95uM_(%)_TEST2,Activity_at_2.1uM_(%)_TEST2,Activity_at_2.35uM_(%)_TEST2,Activity_at_3.8uM_(%)_TEST2,Activity_at_4.2uM_(%)_TEST2,Activity_at_4.6uM_(%)_TEST2,Activity_at_7.5uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_9uM_(%)_TEST2,Activity_at_15uM_(%)_TEST2,Activity_at_16uM_(%)_TEST2,Activity_at_18uM_(%)_TEST2,Activity_at_30uM_(%)_TEST2,Activity_at_35uM_(%)_TEST2
55,22401834,1226102,C1=COC(=C1)/C=C/2\C(=O)N(C(=S)S2)C3=CC=C(C=C3)O,Inactive,0,,,,,,1,0,,,,,,-4.518,100,16,34.561,35,35,0.579,-2.433,-6.136,-2.902,6.113,9.06,24.101,34.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,49676971,4868361,C1=CC=C(C=C1)NC(=O)NN(C2=CC=CC=C2)C(=O)CCl,Active,53,,,=,4.57,5.34,2,53,,=,4.57,5.34,3.632,-4.227,-134.724,15,-133.661,16,35,1.734,-3.245,-7.616,-17.151,-54.359,-123.015,-133.661,-132.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,24786734,1371654,C1=CC(=CC(=C1)Br)/C=C/2\C(=O)N(C(=S)S2)CCCC(=O)NC3=CN=CC=C3,Active,51,,,=,7.56,5.121,2,51,,=,7.56,5.121,4,-16.25,-100,14,-108.909,16,16,-13.132,-15.59,-16.421,-20.25,-23.53,-60.467,-108.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,99360537,310867,COC1=CC(=C(C=C1)OC)N(CCN2C(=O)C3=CC=CC=C3C2=O)C(=O)CCl,Active,60,,,=,0.966,6.015,2,60,,=,0.966,6.015,4,7.533,-129.383,16,-129.846,16,35,5.649,0.247,-65.78,-126.53,-127.666,-127.477,-129.846,-129.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,26659838,1208078,CC(=O)N1C=C(C2=CC=CC=C21)N(C3=CC=CC=C3OC)C(=O)CCl,Active,58,,,=,1.56,5.807,2,58,,=,1.56,5.807,4,-0.211,-131.598,15,-133.081,35,35,-3.153,-1.056,-14.586,-104.808,-122.616,-130.527,-132.687,-133.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,17504769,2931533,C1=CC=C2C(=C1)C(=CC(=N2)C3=CC(=CC=C3)Br)C(=O)NC4=NC=C(C=C4)[N+](=O)[O-],Active,43,,,=,45.55,4.342,2,43,,=,45.55,4.342,1.391,-7.747,-100,14,-45.018,35,35,-11.068,-5.815,-6.378,-9.794,-12.238,-9.756,-28.893,-45.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,56422495,10607,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,Active,66,,,<,0.26,6.585,2,66,,<,0.26,6.585,0,-112.91,-112.91,16,-116.504,16,35,-110.578,-109.451,-111.004,-114.031,-114.379,-112.016,-116.504,-115.321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,124753415,99844,COC1=C(C=CC(=C1)C=C2C(=O)C=CC2=O)O,Active,58,,,=,1.63,5.788,2,58,,=,1.63,5.788,1.488,-2.49,-134.741,15,-132.04,16,35,-10.734,-20.99,-47.361,-78.479,-107.922,-125.197,-132.04,-131.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,26664396,31316,CC1=CC(=C(C=C1C2(C3=CC=CC=C3C(=O)O2)C4=CC(=C(C=C4C)O)C(C)C)C(C)C)O,Active,51,,,=,8.19,5.087,2,51,,=,8.19,5.087,1.657,-9.191,-100,13,-73.733,16,16,-9.898,-7.468,-13.95,-20.253,-26.915,-57.723,-73.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,92763805,436063,CN(C)CC(=C)C(=O)C1=CC(=C(C=C1OC)OC)OC,Active,53,,,=,5.56,5.255,2,53,,=,5.56,5.255,1.632,15.977,-138.531,15,-130.653,35,35,13.695,15.663,5.781,-12.413,-41.613,-84.463,-115.79,-130.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,22401126,2328694,C1=CC=C(C=C1)NC(=O)NC2=CC(=CC(=C2)OCC(F)(F)F)OCC(F)(F)F,Active,52,,,=,6.93,5.159,2,52,,=,6.93,5.159,3.674,-0.317,-121.441,15,-119.833,35,35,3.687,1.678,-3.32,-2.785,-17.215,-76.036,-117.707,-119.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,92764016,29893,C1=CC(=CC=C1C(=NN=C(N)N)C2=CC=C(C=C2)F)C(F)(F)F,Active,55,,,=,3.32,5.479,2,55,,=,3.32,5.479,1.577,5.887,-122.153,16,-118.242,35,35,3.817,-2.795,-6.556,-38.974,-69.566,-94.556,-114.637,-118.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,57264437,2723601,C1=NC2=C(N1)C(=S)N=C(N2)N,Active,59,,,=,1.18,5.928,2,59,,=,1.18,5.928,2.608,-11.991,-91.858,16,-98.957,35,35,-13.369,-20.013,-42.932,-78.454,-86.123,-95.559,-82.487,-98.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,24818678,3143422,CC1=C(C=CC(=C1)NC(=O)C2=CC=C(O2)[N+](=O)[O-])NC(=O)C3=CC=CO3,Active,53,,,=,5.2,5.284,2,53,,=,5.2,5.284,3.227,9.892,-110.05,15,-110.303,35,35,11.822,6.468,9.392,7.467,-31.016,-85.662,-106.666,-110.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,17507447,5749438,CC(=O)/C=C/N1C2=CC=CC=C2OC1=S,Active,52,,,=,5.95,5.225,2,52,,=,5.95,5.225,4,3.358,-131.686,14,-130.108,35,35,-3.828,2.913,2.244,3.213,-17.366,-111.196,-128.169,-130.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,99357374,46903215,CC1=CC=C(C=C1)S(=O)(=O)N(CC#C)C[C@@H]2[C@H]([C@H](CN3N2C(=O)C=CC3=O)OC(=O)NCC4CCCCC4)OC(=O)NCC5CCCCC5,Active,55,,,=,3.03,5.519,2,55,,=,3.03,5.519,2.303,-8.019,-132.294,15,-131.129,16,35,-7.993,-8.118,-19.222,-44.215,-93.344,-119.636,-131.129,-130.759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,22408831,5983846,CC(C)C1=CC=C(C=C1)/C=C(\C2=NC3=CC=CC=C3N2)/S(=O)(=O)C4=CC=CC=C4,Active,53,,,=,5.15,5.288,2,53,,=,5.15,5.288,3.2,-8.047,-132.125,15,-131.827,35,35,0.959,-11.616,-7.881,-17.284,-49.256,-108.787,-128.371,-131.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,17515168,7243564,C1COCCC1(C2=CC=CS2)C(=O)NC3=CC=CC=C3,Inactive,0,,,,,,1,0,,,,,,-1.68484,-1.68484,16,-8.922,16,35,-2.268,7.636,2.455,4.823,-7.223,-2.957,-8.922,-7.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,17516572,6265504,CC1=CC(=CC=C1)/C=C(\C2=NC3=CC=CC=C3N2)/S(=O)(=O)C4=CC=CC=C4,Active,54,,,=,4.1,5.387,2,54,,=,4.1,5.387,3.213,5.298,-131.964,16,-130.887,35,35,6.386,9.135,2.438,-15.024,-61.061,-125.396,-126.146,-130.887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,24818725,217907,C1=CC2=C(C=CC(=C2N=C1)O)F,Inactive,0,,,,,,1,0,,>,70,4.155,0.696,-3.046,-100,16,-31.084,35,35,-4.665,-5.62,-5.984,-6.49,-10.664,-18.367,-19.608,-31.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,89854589,240739,C1=CC2=C(C=C1S(=O)(=O)N)C(=O)C(=C(C2=O)Cl)N,Active,58,,,=,1.47,5.833,2,58,,=,1.47,5.833,3.518,-8.437,-128.117,16,-128.034,35,35,-9.821,-9.676,-33.324,-101.295,-125.634,-127.853,-127.858,-128.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,85269712,2313778,C1=CC=C(C(=C1)/C=C\2/C(=O)N(C(=S)S2)CCCC(=O)NC3=CN=CC=C3)OC(F)F,Active,51,,,=,7.19,5.143,2,51,,=,7.19,5.143,3.581,-7.815,-131.505,15,-132.174,35,35,-3.77,-8.758,-8.513,-16.524,-22.073,-82.154,-123.327,-132.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,49726508,790478,C1=CC(=CC(=C1)NC(=O)C2=CC=C(O2)[N+](=O)[O-])NC(=O)C3=CC=CO3,Active,53,,,=,5.2,5.284,2,53,,=,5.2,5.284,2.2,13.369,-121.315,15,-118.639,35,35,14.427,11.044,6.758,0.864,-41.609,-80.893,-112.795,-118.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,17507644,5719932,CC1=CC(=C(C(=O)N1)C(=O)/C=C/C2=CC=CC3=CC=CC=C32)C,Active,53,,,=,5.27,5.278,2,53,,=,5.27,5.278,2.986,-5.576,-129.639,15,-127.726,35,35,-3.617,-1.521,-12.141,-14.982,-46.613,-102.243,-126.811,-127.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,57263613,3916178,CC1=C(C=C(C=C1)NC(=O)CN2C(=O)C(=C(C=N2)Cl)Cl)S(=O)(=O)N3CCCCC3,Active,53,,,=,4.58,5.339,2,53,,=,4.58,5.339,2.446,0,-100,13,-99.946,16,16,10.211,-2.954,-3.37,-19.237,-39.175,-82.366,-99.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,26732535,476810,CC(C)(C)OC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=C(N=CN2)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)OC(C)(C)C,Inactive,0,,,,,,1,0,,>,16,4.796,1.492,-3.035,-100,12,-24.738,8,8,-5.029,0.129,-8.778,-2.278,-15.34,-24.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,49731808,16453202,CCOC1=CC=CC=C1NC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=CC=C3,Active,52,,,=,7.1,5.149,2,51,,=,7.1,5.149,3.519,5.128,-135.914,14,-132.981,35,35,3.882,0.57,8.393,11.317,-18.914,-78.399,-131.568,-132.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,17508418,9593111,C1=CC=C(C=C1)C2=CC=CC=C2OCC(=O)N/N=C/C3=CC4=CC=CC=C4C=C3,Active,57,,,=,2.1,5.678,2,57,,=,2.1,5.678,1.94,-13.123,-100,14,-109.947,16,16,-15.991,-16.055,-29.753,-59.925,-75.196,-96.417,-109.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,17402854,1486608,C1=CC=C(C=C1)SC2=NC3=C(C=C(C=C3)Cl)N4C2=NN=C4C(F)(F)F,Active,58,,,=,1.52,5.818,2,58,,=,1.52,5.818,3.356,1.784,-129.158,15,-129.103,16,35,7.106,-8.192,-22.69,-96.866,-126.134,-128.31,-129.103,-128.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,26727177,5703458,COC1=CC(=CC(=C1OC)OC)/C=C\2/C(=O)/C(=C/C3=CC(=C(C(=C3)OC)OC)OC)/COC2,Active,58,,,=,1.56,5.807,2,58,,=,1.56,5.807,2.989,-13.422,-126.962,14,-128.291,16,35,-14.04,-17.048,-37.203,-94.071,,-124.891,-128.291,-126.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,121286198,51361444,CC(=O)O[C@H]1CC[C@@]([C@@H]2[C@@]1([C@@H]3CC[C@@H]4C[C@@]3([C@H](C2)O)C(=O)C4=C)C)(C)C(=O)O,Active,54,,,=,4.07,5.39,2,54,,=,4.07,5.39,1.221,-6.375,-139.716,16,-127.684,35,35,-12.212,-13.06,-26.96,-51.678,-70.503,-97.061,-124.576,-127.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,17512495,2789787,CC1=NC2=CC=CC=C2C(=C1)NC3=CC4=C(C=C3)OCCO4.Cl,Inactive,0,,,,,,1,0,,>,70,4.155,1.491,-0.429,-100,16,-18.392,35,35,0.813,-4.147,-0.282,2.381,-4.519,1.005,-9.014,-18.392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,22411045,4331202,C1CCN(C1)C2=C(C=C(C=C2)NC(=O)NC3=CC=CC(=C3)C(F)(F)F)S(=O)(=O)NC4=CC=CC=C4Cl,Active,52,,,=,6.41,5.193,2,52,,=,6.41,5.193,3.72,-1.762,-124.599,15,-125.859,35,35,-2.018,4.016,-1.418,-7.714,-21.584,-88.059,-118.664,-125.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,49731924,16808764,CN(C)CCCN(C1=NC2=C(C=CC=C2S1)OC)C(=O)CCS(=O)(=O)C3=CC=CC=C3,Active,52,,,=,7.04,5.152,2,52,,=,7.04,5.152,1.765,-6.543,-136.379,15,-128.712,35,35,-5.369,-7.3,-13.215,-19.874,-43.134,-78.503,-112.441,-128.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,24787955,1715241,COC1=CC=C(C=C1)C(=O)NC(=S)NNC(=O)COC2=CC=CC=C2,Inactive,0,,,,,,1,0,,>,70,4.155,1.18,3.93,-100,16,-26.621,35,35,-0.95,2.357,7.19,3.17,3.609,-3.805,-14.351,-26.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,24827873,2483623,CC1=CC2=C(C=C1)N=C(S2)C3=CC=C(C=C3)NC(=S)NC4CC(NC(C4)(C)C)(C)C,Inactive,0,,,,,,1,0,,,,,,0,200,13,198.274,35,35,10.08,24.963,36.779,84.305,118.696,142.395,160.307,198.274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,87335296,3630556,CCN(CC)S(=O)(=O)C1=C(C=CC(=C1)[N+](=O)[O-])NNC(=O)NC2=CC(=C(C=C2)Cl)Cl,Active,51,,,=,8.91,5.05,2,51,,=,8.91,5.05,2.616,1.093,-131.452,16,-125.252,35,35,5.363,3.228,1.784,-8.977,-17.868,-51.565,-112.681,-125.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,26725217,56642940,C/C=C(\C)/C(=O)O[C@H]1C/C(=C\C(=O)/C=C(/[C@@H]([C@H]2[C@@H]1C(=C)C(=O)O2)O)\C)/C,Active,54,,,=,4.03,5.395,2,54,,=,4.03,5.395,1.165,19.733,-145.794,14,-132.37,35,35,10.339,8.985,-2.105,-35.615,-68.054,-80.957,-122.616,-132.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,24831032,2348978,C1=CC2=NC(=C(N2C=C1)/C=C/C(=O)NC3=CC=C(C=C3)F)Cl,Inactive,0,,,,,,1,0,,,,,,-9.489,100,15,4.654,16,35,-13.408,-6.979,-5.724,0.478,1.909,-6.963,4.654,3.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,121283020,332902,CC(=NNC1=NC2=CC=CC=C2C=C1)C3=CC=CC=N3,Active,56,,,=,2.27,5.644,2,56,,=,2.27,5.644,3.343,16.829,-134.414,15,-134.804,16,35,19.942,13.437,8.637,-49.546,-116.851,-132.692,-134.804,-133.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,56463343,9552079,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl,Active,53,,,=,5.69,5.245,2,52,,=,5.69,5.245,2.995,2.088,-121.053,16,-125.275,35,35,1.529,-1.868,4.499,-2.32,-33.048,-90.296,-109.492,-125.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,49731431,24792840,CN1CCN(CC1)CCCNC(=O)C2=CC=C(C=C2)/C=C\3/C(=O)N(C4=CC=CC=C4O3)CC5=CC=C(C=C5)Cl,Active,48,,,=,16.94,4.771,2,48,,=,16.94,4.771,2.287,-7.515,-100,13,-51.048,16,16,-9.942,-7.334,-3.916,-9.185,-12.322,-20.965,-51.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,24804310,2905495,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)NC3=C(C4=NON=C4C(=C3)Cl)[N+](=O)[O-],Active,51,,,=,8.97,5.047,2,50,,=,8.97,5.047,4,-3.729,-136.703,15,-133.113,35,35,-1.276,-6.241,-4.043,-4.308,-7.937,-53.787,-129.33,-133.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,99456793,46944084,CCSC1=CC=C(C=C1)C2=CN3C(=CN=C3C(=C2)NC=O)C4=CC(=CC=C4)C(=O)NCCN(C)C,Active,50,,,=,9.88,5.005,2,50,,=,9.88,5.005,4,2.086,-133.124,14,-131.031,35,35,2.89,5.024,-6.81,1.825,-1.2,-37.018,-118.553,-131.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,17504722,12004530,C[C@]12[C@H](CCC([C@H]1C[C@H]([C@]34[C@H]2C[C@@H]([C@H]([C@H]3O)C(=C)C4=O)O)O)(C)C)O,Active,55,,,=,3.37,5.472,2,55,,=,3.37,5.472,1.362,-7.035,-129.327,16,-122.897,35,35,-6.667,-21.085,-25.614,-48.266,-77.237,-100.154,-118.448,-122.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,17432820,2899437,CC1=CC=C(C=C1)C(=O)C2=C(C=CC(=C2)[N+](=O)[O-])N3CCCCC3,Active,55,,,=,3.39,5.47,2,55,,=,3.39,5.47,1.89,-25,-100,12,-111.105,35,35,,-38.686,-41.241,-47.256,-64.516,-89.452,-103.369,-111.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,49721444,22519409,CC(=O)N1CCOC2=C1C=C(C=C2)S(=O)(=O)N3CCN(CC3)C4=CC=CC(=C4)C(F)(F)F,Active,56,,,=,2.36,5.627,2,56,,=,2.36,5.627,1.715,0,-100,12,-110.798,16,16,-6.13,-3.404,-20.371,-46.904,-68.293,-84.364,-110.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,85147375,781660,CCSC1=NC(=NC(=N1)C(Cl)Cl)C2=CC=CC=C2,Active,57,,,=,1.95,5.71,2,57,,=,1.95,5.71,2.752,11.344,-129.541,12,-130.698,35,35,15.571,1.897,-4.702,-66.312,-115.876,-124.395,-128.379,-130.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,49722025,16446988,CC1=CC(=CC=C1)CS(=O)(=O)C2=NC=C(C(=N2)C(=O)NC3=CC=C(C=C3)F)Cl,Active,50,,,=,9.28,5.032,2,50,,=,9.28,5.032,3.104,8.317,-100,14,-80.032,16,16,7.079,9.102,5.184,6.572,6.186,-37.192,-80.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,17506165,6891819,C1=CC=C2C(=C1)N=C(S2)N/N=C/C3=CC=CN3CCOC4=CC=CC=C4Cl,Active,43,,,=,50.73,4.295,2,43,,=,50.73,4.295,1.463,4.516,-100,12,-32.131,35,35,0.103,-3.102,3.726,4.012,25.119,,-16.756,-32.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,49644683,135468602,CC1=CC(=C2C=C(C=CC2=N1)OC)N/N=C/C3=C(C(=CC=C3)OC)O,Active,49,,,=,12.05,4.919,2,49,,=,12.05,4.919,3.365,-19.913,-100,12,-35.962,8,8,-20.165,-24.505,-17.11,-17.561,-22.759,-35.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,24837680,16196885,CC1=CC(=CC(=C1CN2C3=[N+](CCCCC3)C4=C2C=C(C=C4)C(F)(F)F)C)C(C)(C)C.[Cl-],Active,54,,,=,4.37,5.36,2,54,,=,4.37,5.36,1.729,-5.688,-100,12,-78.959,8,8,-3.19,-7.581,-17.12,-27.011,-46.995,-78.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,92763435,4366047,CC1C(C(C(C(O1)NC2=NC=NC3=C2NC=N3)O)O)NC(=O)CNC(=O)CCCCCCCCCCCCC(C)C,Active,66,,,<,0.26,6.585,2,66,,<,0.26,6.585,0,-127.865,-127.865,16,-130.302,16,35,-124.847,-125.555,-126.665,-127.878,-129.292,-129.797,-130.302,-128.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,47196787,2872439,CC(=O)NC(C1=CC2=CC=CC=C2C=C1)C3=C(C4=C(C=CC=N4)C=C3)O,Active,57,,,=,1.89,5.724,2,57,,=,1.89,5.724,1.502,0,-109.861,13,-107.548,16,35,,0.448,-38.157,-56.21,-82.525,-100.804,-107.548,-106.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,121283285,335091,CC1=CC2CC(C(=C2C(=O)CC(CCC=CCC(NC(=O)C=CC=C1)C3=CC=CC=C3)O)O)OC,Active,62,,,=,0.673,6.172,2,62,,=,0.673,6.172,2.779,0,-126.478,15,-129.194,35,35,-6.893,-37.813,-97.107,-115.899,-124.333,-127.455,-127.818,-129.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,121286188,51361436,C[C@@]12CCC[C@@](C1C[C@@H]([C@]34C2CC[C@H](C3)C(=C)C4=O)O)(C)C(=O)O,Active,58,,,=,1.77,5.752,2,58,,=,1.77,5.752,1.56,-15.054,-133.811,15,-131.487,35,35,-19.512,-32.096,-50.473,-80.448,-109.479,-125.938,-129.64,-131.487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,24782350,4654931,C1CS(=O)(=O)CC1NC2=C(C(=O)C3=CC=CC=C3C2=O)NC(=O)C4=CC=CC=C4,Active,52,,,=,6.4,5.194,2,52,,=,6.4,5.194,3.266,-17.449,-125.233,15,-125.588,35,35,-15.361,-16.118,-18.963,-26.496,-37.822,-91.079,-118.858,-125.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,24802680,3216691,COC1=CC(=C(C=C1)N(C(C2=CC=CS2)C(=O)NC3CCCC3)C(=O)C#C)OC,Active,66,,,<,0.26,6.585,2,66,,<,0.26,6.585,0,-128.506,-128.506,16,-131.834,16,35,-119.421,-127.099,-129.087,-129.75,-130.319,-130.601,-131.834,-129.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,92763369,373978,C1=C2C(=C(S1)C3C(C(C(O3)CO)O)O)N=CN=C2N,Active,66,,,<,0.26,6.585,2,66,,<,0.26,6.585,0,-124.062,-124.062,16,-127.327,8,35,-117.475,-119.517,-123.767,-126.173,-127.24,-127.327,-126.523,-124.476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,87336011,5145891,C1=CC=C2C(=C1)C=CC=C2N=C3N(C(=O)C(S3)CC(=O)NC4=CC=CC=C4Br)CC5=CC=CC=N5,Active,48,,,=,15.39,4.813,2,48,,=,15.39,4.813,2.699,-11.93,-100,15,-93.324,35,35,-9.533,-8.727,-11.313,-16.829,-14.634,-25.847,-56.929,-93.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,99495634,44640137,CCC(C(=O)NC1C2CC3CC(C2)CC1C3)OC(=O)C4=CC(=C(C=C4)S(=O)(=O)C)[N+](=O)[O-],Active,51,,,=,8.07,5.093,2,51,,=,8.07,5.093,3.107,1.601,-129.262,15,-128.088,35,35,8.654,-3.323,-0.54,-1.581,-13.068,-63.285,-115.039,-128.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,121284983,51360344,C1CN(CCC1N2C3=CC=CC=C3NC2=O)C(CCC4=CC=CC=C4)C5=NN=NN5CC6=CC=CC=C6,Active,59,,,=,1.4,5.854,2,59,,=,1.4,5.854,1.258,0,-137.473,15,-133.664,35,35,-5.091,-36.045,-51.841,-84.966,-109.778,-125.421,-131.859,-133.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,14733294,9550445,CC1=NOC(=C1S(=O)(=O)N2CCC(CC2)C(=O)NC(C)C3=CC=CC=C3)/C=C/C4=CC=CO4,Active,60,,,=,0.931,6.031,2,60,,=,0.931,6.031,2.668,0,-107.983,16,-112.977,35,35,1.845,-14.797,-63.444,-91.558,-101.963,-109.268,-108.404,-112.977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,92763383,430588,CC(C(=O)NC(CO)C(C(C=O)N)O)N,Active,57,,,=,1.86,5.73,2,57,,=,1.86,5.73,1.066,0,-134.339,15,-127.469,35,35,-10.704,-29.096,-47.509,-69.896,-92.877,-111.402,-124.107,-127.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,24810201,4463586,C1C(=NN(C1(C(F)(F)F)O)C(=O)C2=CC=CO2)C3=CC=C(C=C3)Br,Active,46,,,=,27.11,4.567,2,46,,=,27.11,4.567,3.809,12.693,-100,16,-69.148,35,35,13.487,11.29,14.728,11.893,13.515,9.823,-0.351,-69.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
