PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,AC50_Qualifier,AC50_uM,pAC50_M,ACTIVITY_OUTCOME_TEST1,ACTIVITY_SCORE_TEST1,ASSAYDATA_COMMENT_TEST1,AC50_Qualifier_TEST1,AC50_uM_TEST1,pAC50_M_TEST1,Hill_Slope_TEST1,S0_(%)_TEST1,Sinf_(%)_TEST1,Num_Points_TEST1,Max_Activity_(%)_TEST1,Max_Activity_Conc_uM_TEST1,Max_Concentration_uM_TEST1,Activity_at_0.009uM_(%)_TEST1,Activity_at_0.01uM_(%)_TEST1,Activity_at_0.011uM_(%)_TEST1,Activity_at_0.012uM_(%)_TEST1,Activity_at_0.016uM_(%)_TEST1,Activity_at_0.0285uM_(%)_TEST1,Activity_at_0.03uM_(%)_TEST1,Activity_at_0.035uM_(%)_TEST1,Activity_at_0.05uM_(%)_TEST1,Activity_at_0.08uM_(%)_TEST1,Activity_at_0.09uM_(%)_TEST1,Activity_at_0.1uM_(%)_TEST1,Activity_at_0.11uM_(%)_TEST1,Activity_at_0.15uM_(%)_TEST1,Activity_at_0.235uM_(%)_TEST1,Activity_at_0.285uM_(%)_TEST1,Activity_at_0.3uM_(%)_TEST1,Activity_at_0.35uM_(%)_TEST1,Activity_at_0.46uM_(%)_TEST1,Activity_at_0.75uM_(%)_TEST1,Activity_at_0.8uM_(%)_TEST1,Activity_at_0.9uM_(%)_TEST1,Activity_at_1uM_(%)_TEST1,Activity_at_1.35uM_(%)_TEST1,Activity_at_2.1uM_(%)_TEST1,Activity_at_2.6uM_(%)_TEST1,Activity_at_2.85uM_(%)_TEST1,Activity_at_3uM_(%)_TEST1,Activity_at_3.8uM_(%)_TEST1,Activity_at_6.8uM_(%)_TEST1,Activity_at_7.5uM_(%)_TEST1,Activity_at_8uM_(%)_TEST1,Activity_at_9uM_(%)_TEST1,Activity_at_12uM_(%)_TEST1,Activity_at_19.5uM_(%)_TEST1,Activity_at_23.5uM_(%)_TEST1,Activity_at_26uM_(%)_TEST1,Activity_at_35uM_(%)_TEST1,ACTIVITY_OUTCOME_TEST2,ACTIVITY_SCORE_TEST2,ASSAYDATA_COMMENT_TEST2,AC50_Qualifier_TEST2,AC50_uM_TEST2,pAC50_M_TEST2,Hill_Slope_TEST2,S0_(%)_TEST2,Sinf_(%)_TEST2,Num_Points_TEST2,Max_Activity_(%)_TEST2,Max_Activity_Conc_uM_TEST2,Max_Concentration_uM_TEST2,Activity_at_0.011uM_(%)_TEST2,Activity_at_0.035uM_(%)_TEST2,Activity_at_0.1uM_(%)_TEST2,Activity_at_0.3uM_(%)_TEST2,Activity_at_0.9uM_(%)_TEST2,Activity_at_2.85uM_(%)_TEST2,Activity_at_8uM_(%)_TEST2,Activity_at_26uM_(%)_TEST2
294,49676421,16240138,C1=CC=C(C=C1)N(C2=CC=CC=C2)C3=CC=C(C=C3)/C=N/N=C(N)N.[N+](=O)(O)[O-],Active,50,,,=,10.08,4.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.08,4.997,2.819,9.767,-100,15,-92.323,26,26,8.518,6.329,11.947,10.069,11.659,8.147,-28.197,-92.323
295,22405464,317843,CN1CCC2=CC3=C(C4=C2[C@H]1CC5=CC(=C(C=C54)OC)OC)OCO3,Active,53,,,=,5.63,5.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,5.63,5.249,2.681,4.659,-100,16,-98.482,26,26,4.403,6.576,4.587,6.413,0.146,-9.443,-70.758,-98.482
296,4250593,3244385,C1CC2=[N+](ON=C2C3=NN([N+](=C31)[O-])C4=CC=CC=C4Cl)[O-],Active,62,,,=,0.651,6.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,62,,=,0.651,6.186,1.256,1.369,-97.759,16,-97.099,26,26,-0.527,1.145,-8.553,-25.127,-58.642,-83.934,-93.54,-97.099
297,49825550,591182,C1=CC=C2C(=C1)N=C(S2)NS(=O)(=O)C3=CC=CC=C3[N+](=O)[O-],Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.43141,4.43141,16,7.319,0.011,26,7.319,3.927,6.975,5.599,5.808,3.607,3.328,-1.112
298,49733615,9592185,CC1=CC(=NC=C1)NC(=O)C/C(=N/NC(=O)C2=CC=CC(=C2O)C)/C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,1.036,5.213,-100,16,-25.652,26,26,3.538,7.945,3.194,7.435,0.799,2.522,-6.679,-25.652
299,49673736,2302143,CC1=CC(=CC=C1)N2C(=O)CC3=CC=CC=C3C2=O,Active,46,,,=,22.7,4.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,22.7,4.644,1.114,4.639,-100,16,-51.34,26,26,5.805,3.677,3.248,4.432,1.522,-3.609,-21.19,-51.34
300,56321568,24686892,CCCCN(C1=C(N(C(=O)NC1=O)CCC)N)C(=O)C2=CC(=CC=C2)N3C=CC=C3,Active,57,,,=,1.93,5.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,57,,=,1.93,5.714,1.289,-2.483,-52.483,15,-50.008,8,26,-1.588,-3.154,-4.169,-8.669,-16.844,-29.719,-50.008,-44.099
301,49677020,2378650,CC1=CC(=C(C=C1)NC2=C3C=CSC3=NC=N2)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.33781,2.33781,16,6.059,0.035,26,0.781,6.059,4.333,5.802,2.167,3.97,-1.277,-3.132
302,26731798,3490678,C1=CC=C2C(=C1)C(=O)C3=C(C=CC(=C3C2=O)O)[N+](=O)[O-],Active,50,,,=,9.76,5.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,9.76,5.011,0.919,5.077,-100,16,-67.346,26,26,1.449,3.456,4.723,3.78,-3.123,-21.961,-44.852,-67.346
303,49668801,135745100,COC1=CC=CC=C1N=NC2=C3C=CC=NC3=C(C=C2)O,Active,45,,,=,34.53,4.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,34.53,4.462,0.717,5.766,-100,16,-41.294,26,26,4.532,6.053,3.608,3.69,-3.491,-7.005,-23.287,-41.294
304,74373844,31922768,CC1=C(C(=NO1)C)COC2=CC=CC=C2C(=O)N(C)CC(=O)NC3=C(C(=C(C=C3)F)F)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.33284,2.33284,15,4.06,0.011,26,4.06,3.472,4.054,2.112,3.007,2.028,0.611,-1.543
305,22412819,5210304,CN1C2=CC=CC=C2N=C1N=NC3=CC=CC=C3,Active,44,,,=,38.09,4.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,38.09,4.419,1.226,-2.717,-100,16,-40.581,26,26,-0.106,-2.995,-2.58,-3.945,-4.272,-8.992,-13.47,-40.581
306,24800973,1158039,C1CN(CCN1C2=CC=C(C=C2)F)S(=O)(=O)C3=CC=CC4=C3N=CC=C4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.80053,5.80053,16,8.21,0.3,26,3.154,3.901,6.936,8.21,7.561,7.385,7.521,1.736
307,24802298,12224379,COC1=C(C=C(C=C1)CN=C(N)N=C(N)N)Cl.Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.05286,-1.05286,16,-4.682,8,26,-3.064,1.497,-2.33,2.372,-3.409,1.514,-4.682,-0.321
308,49641965,5300805,CC1=CC(=NC(=N1)N2CCN(CC2)S(=O)(=O)C3=CC=C(C=C3)F)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.98709,3.98709,16,6.409,0.1,26,3.738,5.416,6.409,6.163,2.555,5.655,1.485,0.475
309,49649425,674159,C1=CC(=C(C=C1C(=O)CN2C=NC(=N2)[N+](=O)[O-])O)O,Active,44,,,=,43.89,4.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,44,,=,43.89,4.358,0.617,1.854,-100,16,-39.08,26,26,0.222,-0.803,-0.145,-1.478,-3.685,-14.248,-28.101,-39.08
310,93576602,45479730,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C.C(=C\C(=O)[O-])\C(=O)[O-],Active,52,,,=,7.04,5.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,7.04,5.152,1.182,-1.835,-100,16,-82.435,26,26,-0.682,-3.302,-1.105,-5.653,-9.973,-26.079,-55.268,-82.435
311,4262116,1250898,CN1CCN(CC1)CC(=O)NC2=C(C=C(C=C2)Cl)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.32496,3.32496,16,6.607,2.85,26,-0.593,1.274,3.879,3.326,4.089,6.607,4.183,3.833
312,22400366,899276,CC1=CC2=C(N=C(N=C2O1)OC)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.859904,0.859904,16,3.631,8,26,-0.659,-2.551,2.861,1.342,2.717,-0.84,3.631,0.379
313,92763382,430455,CC1=CC(=O)N2COC3=C2C1=CC4=C3N(C(=O)C=C4CN(C)C)C,Active,54,,,=,4.06,5.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,,=,4.06,5.391,3.561,0.698,-97.299,16,-97.318,26,26,0.089,-2.318,2.597,-0.154,2.929,-21.055,-89.049,-97.318
314,74373788,40234117,CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)NC2=CC=C(C=C2)C(=O)N3CCN(CC3)C(=O)C4=CC=CO4,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.5,0.027,-100,15,-24.52,26,26,0.037,-3.107,-0.568,-2.838,-5.032,-12.462,-14.83,-24.52
315,49680210,4105344,CC(=O)N1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)CC3=CC=CC=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,1.068,4.626,-100,16,-13.19,26,26,4.192,3.863,6.144,5.11,2.86,2.518,-0.806,-13.19
316,26663040,16682331,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C.C(=C\C(=O)[O-])\C(=O)[O-],Active,49,,,=,11.51,4.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.51,4.939,1.679,8.344,-100,16,-79.742,26,26,8.598,9.424,10.109,8.328,5.43,-4.72,-27.199,-79.742
317,56422124,5281073,CC[C@@H](CO)NC(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C.C(=C\C(=O)O)\C(=O)O,Active,49,,,=,11.66,4.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,11.66,4.933,1.575,1.551,-100,15,-77.949,26,26,1.761,1.365,1.706,2.143,-0.601,-9.042,-34.053,-77.949
318,49827379,24687249,CN1C=CSC1=NC(=O)C2=CC=C(O2)[N+](=O)[O-],Active,52,,,=,6.3,5.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.3,5.201,1.091,1.494,-100,15,-78.965,26,26,1.225,0.419,0.679,-2.036,-8.962,-26.325,-59.723,-78.965
319,24780707,1097565,C1=CC=C(C=C1)C(=O)NC(=C(Cl)Cl)S(=O)(=O)C2=CC=C(C=C2)Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.5,4.18,-100,15,-31.894,8,26,-0.17,1.381,3.953,1.708,-0.162,-12.321,-31.894,-24.367
320,24786615,135412138,COC1=C(C=CC(=C1)/C=N/NC2=CC=C(C=C2)C(=O)O)O,Active,50,,,=,11.14,4.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,11.14,4.953,0.915,1.568,-100,13,-66.294,26,26,-0.168,3.046,-1.618,1.182,-10.026,-15.161,-44.95,-66.294
321,57262061,4848590,CC1(C(=O)NC2=CC=CC=C2N1C(=O)COC(=O)C3=CC(=CC=C3)S(=O)(=O)NC)C,Active,55,,,=,3,5.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,,=,3,5.523,1.431,-1.951,-58.069,15,-55.333,8,26,-2.551,0.833,-4.842,-1.492,-14.854,-24.718,-55.333,-53.684
322,49640741,24746783,CCN(CC)CC.C1=CC=C2C(=C1)N(/C(=C/3\C(=O)N(C(=S)S3)N)/S2)CCCS(=O)(=O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-0.356948,-0.356948,16,-13.93,26,26,-1.429,-1.311,4.965,1.932,4.784,1.636,0.497,-13.93
323,26724476,3238423,C1CN(CCN1C2=CC=C(C=C2)F)C(=O)CCCN3C(=O)C4=CC5=C(C=C4NC3=S)OCO5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-3.55279,-3.55279,16,-5.309,26,26,-4.691,-5.08,-0.751,-4.097,-2.312,-3.171,-3.012,-5.309
324,57262684,16237915,CC1=C(C=C(C=C1)C(=O)NC2CCN(CC2)CC3=CC=CC=C3)S(=O)(=O)NC4=CC=CC=C4OC.Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.6696,1.6696,16,-6.078,26,26,3.588,2.688,4.072,4.912,4.824,1.545,-2.194,-6.078
325,49678271,18563894,CN(C)CCN(C1=NC2=C(C=C(C=C2S1)F)F)C(=O)C3=CC4=CC=CC=C4C=C3OC.Cl,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.83752,-1.83752,16,-5.827,8,26,-2.389,1.513,-1.925,1.738,-2.196,-0.156,-5.827,-5.459
326,47194024,4278516,COC1=NC(=C2C(=C1)C(=C(N=C2N)N3CCCC3)C#N)N,Active,49,,,=,12.03,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.03,4.92,4,1.685,-100,16,-97.302,26,26,0.018,-0.331,4.858,2.25,5.082,-2.57,-14.154,-97.302
327,49645210,6489264,C1=CC=C(C=C1)C2=CC(=NC(=C2[N+](=O)[O-])N)C3=C(C=CC(=C3)O)[N+](=O)[O-],Active,50,,,=,10.69,4.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,10.69,4.971,0.61,-4.945,-100,15,-67.157,26,26,-5.409,-7.422,-8.65,-21.85,-23.714,-31.906,-46.513,-67.157
328,124753368,349435,C1C2=CC=CC=C2C(=O)NC1=O,Active,59,,,=,1.22,5.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,59,,=,1.22,5.914,2.739,-0.165,-100.391,15,-99.759,26,26,3.504,-0.806,-0.071,-9.697,-29.652,-92.285,-99.737,-99.759
329,49665757,3695845,CN=C(C1=CC(=CC=C1)C(F)(F)F)NC2=CN=CC=C2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,1.78717,1.78717,16,6.018,0.3,26,1.449,5.052,2.568,6.018,1.27,2.677,-2.431,-2.306
330,24801137,286554,CC1=NN(C(=O)C1)C2=C(C=C(C=C2)S(=O)(=O)O)Cl,Active,47,,,=,19.03,4.721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,19.03,4.721,1.113,4.145,-100,16,-56.795,26,26,3.402,4.465,4.042,5.183,-2.508,-5.256,-25.159,-56.795
331,49672392,2813560,CC1=C(C=CC=C1Cl)NC(=O)NC2=NOC(=C2)C(C)(C)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,3.00803,3.00803,16,6.2,0.3,26,1.496,4.759,5.308,6.2,3.282,2.183,0.494,0.342
332,26671145,6879994,C1=CC=C2C=C(C(=CC2=C1)C(=O)N/N=C/C3=C(N(C(=O)S3)CC4=CC(=CC=C4)C(=O)O)Cl)O,Active,47,,,=,18.15,4.741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,=,18.15,4.741,0.963,5.572,-100,16,-52.773,26,26,1.06,2.535,5.614,7.383,3.293,-6.125,-34.42,-52.773
333,49731045,4358102,C1CN(CCN1C2=CC=C(C=C2)F)C(=O)CCCCCN3C(=O)C4=CC5=C(C=C4NC3=S)OCO5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.82682,2.82682,16,6.756,0.1,26,6.483,2.272,6.756,4.95,4.815,0.282,0.916,-3.859
334,4242820,1192760,CCOC(=O)C1=C(OC2=C1C(=C(C3=CC=CC=C32)O)C=NCC4=CC=CC=N4)C,Active,50,,,=,11.03,4.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,,=,11.03,4.957,0.871,6.562,-100,16,-65.133,26,26,7.926,3.207,5.404,1.885,-3.118,-18.537,-40.202,-65.133
335,121282848,3937499,C1=CC(=C2C(=C1[N+](=O)[O-])NNC2=O)F,Active,52,,,=,6.73,5.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.73,5.172,1.19,8.195,-100,16,-79.976,26,26,7.742,7.053,7.358,4.892,2.478,-21.228,-52.874,-79.976
336,24824696,6668549,CCO[C@@H]1[C@H]([C@@H](C=C(O1)C(=O)N2CCOCC2)C3=CC4=C(C=C3)OCO4)CCCO,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.562,6.264,-100,15,-0.441,26,26,5.459,7.056,5.48,6.962,3.427,5.045,-0.177,-0.441
337,858402,711382,C1=CC=C(C=C1)/C=C/S(=O)(=O)NC2=CC(=C(C=C2)C(=O)O)O,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,1.427,3.421,-100,16,-12.621,26,26,-1.941,3.111,3.699,6.752,3.865,5.27,-1.452,-12.621
338,24825371,4832447,C1=CC=C(C=C1)CNC(=O)NC(=O)COC(=O)C2=CC=C(S2)[N+](=O)[O-],Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,>,52,4.284,0.5,0.05,-100,14,-10.163,26,26,1.632,-1.332,-0.417,-1.179,-3.364,,-6.605,-10.163
339,47200473,3910107,CCCCCC1=CC=C(C=C1)CC(=O)N2CCOCC2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,0.0401,0.0401,16,-8.614,26,26,-0.163,-0.543,1.297,2.108,6.539,-0.998,0.694,-8.614
340,24793171,715141,CC1=CN=C(C=C1)NS(=O)(=O)C2=CC=C(S2)Br,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-5.91221,-5.91221,16,-18.71,26,26,-1.372,-1.954,-3.307,-2.447,-3.655,-6.144,-9.709,-18.71
341,17512875,710962,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=CC=C4)F,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-1.33357,-1.33357,16,-8.899,8,26,-2.113,2.521,-0.384,3.038,-4.113,-0.438,-8.899,-0.28
342,57265586,7809163,C1=CC=C(C=C1)CC(=O)NCC(=O)NCC2=CC=CS2,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.7354,2.7354,15,4.893,0.3,26,1.157,4.209,3.337,4.893,2.87,4.551,-0.172,1.775
343,56319525,24980803,CC1=C(C(=CC=C1)NC(=O)CNC(=O)CCC2=NC3=C(C4=C(S3)CCCC4)C(=O)N2)C,Active,51,,,=,7.7,5.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.7,5.114,0.808,1.86,-100,16,-72.064,26,26,2.324,-2.36,2.237,-7.447,-11.85,-30.295,-49.911,-72.064
344,49679195,56642971,CCOC1=C(C=CC(=C1)/C=N/NC2=NN=C(N2N)C)OC(=O)C.Cl,Inconclusive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,16,-67.836,26,26,-6.48,-6.313,-0.782,-3.831,0.687,-3.322,-4.106,-67.836
345,49643864,755364,CC1=CC=C(C=C1)S(=O)(=O)N2C(=NC3=CC=CC=C32)C,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,4.77706,4.77706,16,8.16,0.1,26,7.89,4.968,8.16,5.301,7.496,3.157,4.796,-3.552
346,99355741,46902168,[B-](C1=CSC=C1C=O)(F)(F)F.[K+],Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.96133,2.96133,15,-26.207,0.035,26,1.479,-26.207,4.683,5.632,7.149,4.896,7.382,4.092
347,85268550,2369741,CCN(C1CCCCC1)C(=O)COC(=O)C2=CC=C(O2)[N+](=O)[O-],Active,45,,,=,34.07,4.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,,=,34.07,4.468,1.341,6.573,-100,16,-37.247,26,26,5.854,8.722,5.323,9.288,1.786,3.598,-6.567,-37.247
348,49825722,5454652,C/C(=N/NS(=O)(=O)C1=CC=C(C=C1)Cl)/C2=CC(=CC=C2)NC(=O)C3=CC=NC=C3,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,5.01867,5.01867,16,8.564,0.3,26,1.977,5.24,6.285,8.564,6.467,7.017,3.567,1.033
349,56422357,25102417,CC1=CC=C(C=C1)NC(=O)CN(C)C(=O)C2=CC(=CC=C2)N3C=CC=C3,Active,58,,,=,1.5,5.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,58,,=,1.5,5.824,1.353,1.699,-91.703,16,-88.064,26,26,5.46,-2.169,0.758,-11.35,-27.185,-64.22,-85.038,-88.064
350,49675661,2302144,COC1=CC=CC=C1N2C(=O)CC3=CC=CC=C3C2=O,Active,46,,,=,24.18,4.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,46,,=,24.18,4.617,1.548,3.115,-100,15,-51.267,26,26,1.081,0.114,8.375,3.397,5.006,-0.955,-12.805,-51.267
351,26724475,3244875,C1CN(CCN1C2=CC=CC=C2F)C(=O)CCCN3C(=O)C4=CC5=C(C=C4NC3=S)OCO5,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,-2.27408,-2.27408,16,-9.066,26,26,-1.261,-3.808,1.342,-1.17,-0.538,-1.181,-2.511,-9.066
352,89850670,225906,C1=CC2=C(C(=C1)[N+](=O)[O-])NC=C(C2=O)C(=O)O,Active,52,,,=,5.77,5.239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,5.77,5.239,1.001,-0.802,-100,16,-80.665,26,26,-0.916,-2.912,-2.201,-5.271,-12.338,-34.778,-59.106,-80.665
353,103050345,5129136,CC(=O)N1CCC2=C(C1)SC(=C2C(=O)N)NC(=O)C3=CC=C(O3)[N+](=O)[O-],Active,49,,,=,12.68,4.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,49,,=,12.68,4.897,1.594,1.288,-100,16,-75.523,26,26,-2.641,-1.564,4.295,3.774,1.577,-8.246,-31.402,-75.523
354,49669013,6177155,C1=CSC(=C1)C(=O)N/N=C\C=C\C2=CC=C(O2)[N+](=O)[O-],Active,51,,,=,7.38,5.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,51,,=,7.38,5.132,0.822,6.965,-100,16,-67.877,26,26,1.038,7.218,6.259,2.719,-10.462,-24.427,-53.656,-67.877
355,24816965,4326676,C1=CC=C(C=C1)C2=C(SN=N2)S(=O)(=O)C3=CC=C(C=C3)F,Active,52,,,=,6.26,5.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,52,,=,6.26,5.203,1.032,2.157,-100,16,-77.858,26,26,-0.434,1.141,2.312,-1.094,-9.164,-28.5,-58.497,-77.858
356,49642634,684712,COC1=C(C=C(C=C1)S(=O)(=O)N2C=NC3=CC=CC=C32)OC,Inactive,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,2.7828,2.7828,16,4.468,0.011,26,4.468,2.86,4.235,3.19,3.319,2.6,2.902,-1.312
